123	1
123	1
123	1
123	1
123	1
123	1
123	1
228	1
228	1
1312	1
1312	1
1848	1
1848	1
1848	1
1848	1
1848	1
1849	1
1850	1
1851	1
1852	1
1852	1
1853	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
6	0
6	0
7	0
10	0
10	0
10	0
10	0
11	0
10	0
10	0
10	0
10	0
10	0
10	0
12	0
13	0
13	0
14	0
15	0
15	0
15	0
16	0
16	0
17	0
18	0
19	0
19	0
20	0
21	0
22	0
23	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
34	0
35	0
36	0
37	0
37	0
39	0
39	0
40	0
41	0
42	0
50	0
50	0
50	0
50	0
50	0
51	0
123	1
123	2
124	1
125	1
125	1
126	1
127	1
128	1
129	1
130	1
1000	1
1000	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
150	1
6	1
6	1
7	1
8	1
75	1
175	1
200	1
9999	1
9999	1
9999	2
9999	3
200	1
200	2
201	1
201	2
202	1
203	1
204	1
205	1
205	1
205	2
206	1
207	1
207	2
207	3
210	1
210	1
210	2
5	1
5	1
4	1
7	1
8	1
8	1
9	1
9	1
9	1
9	2
9	3
10	1
10	2
10	3
11	1
13	1
14	1
15	1
222	1
31	1
32	0
0	0
0	0
36	0
36	1
37	0
38	0
39	0
40	0
41	0
42	0
42	1
43	0
44	0
45	0
46	0
46	1
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
-1	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
250	1
250	1
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	1
